FECHA,VENTANILLA,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA,EGNMALACAS,EGNAGUAYTIA,EDIESEL,ERESIDUAL,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,DNORTE,DCENTRO,DEMSUR,PRESIONV,TEMPV,DISPGNV
43525,205.9089,5865.9539,1026.6025,3054.5177,1645.7256,0,0,1.2,25.1,5.545,9.45,0,97.8131,808.0143,3579.314,1478.6256,4275.56,27.3,2250
43525.02083,204.6815,5672.975,1049.9773,2890.1887,1593.5418,0,0,1.2,24.6,5.83,9.45,0,98.1872,777.5465,3419.2167,1476.2118,4275.56,27.3,2250
43525.04167,205.4002,5669.4566,1025.4767,2892.6481,1608.3641,0,0,1.2,24.2,6.08,9.45,0,102.0378,786.8644,3415.1347,1467.4575,4308.537,26.75,2250
43525.0625,205.3832,5587.5923,1046.553,2847.4689,1563.7247,0,0,1.2,24.3,5.775,9.45,0,89.1208,773.702,3358.2116,1455.6788,4308.537,26.75,2250
43525.08333,205.1762,5525.5969,1047.5133,2684.3517,1659.8056,0,0,1.2,24.9,5.7878,9.45,0,92.5886,762.2152,3310.1307,1453.251,4369.191,26.25,2250
43525.10417,185.0014,5376.909,1026.2718,2686.5672,1541.3225,0,0,0,21.9,5.6051,9.45,0,85.7924,715.7062,3225.3478,1435.855,4369.191,26.25,2250
43525.125,180.0758,5398.0323,1033.5848,2711.8445,1533.8464,0,0,0,21.7,5.5782,9.45,0,82.0285,715.8535,3226.6235,1455.5553,4408.292,25.825,2250
43525.14583,178.3813,5248.9666,1024.2789,2647.9275,1437.089,0,0,0,21.6,5.7645,9.45,0,102.8566,734.9064,3123.9617,1390.0985,4408.292,25.825,2250
43525.16667,179.6816,5381.3279,1035.1179,2731.7989,1456.1877,0,0,0,21.6,5.5882,9.45,0,121.5852,712.5739,3238.7225,1430.0315,4423.367,25.4,2250
43525.1875,178.7257,5473.3343,1044.7092,2772.967,1497.1741,0,0,0,21.6,5.5195,9.45,0,121.9146,749.8491,3259.7101,1463.7751,4423.367,25.4,2250
43525.20833,177.5661,5423.7683,1034.9272,2731.0667,1460.9055,0,0,0,21.5,5.665,9.45,0,160.254,746.6372,3223.0905,1454.0406,4421.13,25.1,2250
43525.22917,179.7004,5457.0023,1025.4964,2713.0049,1522.0922,0,0,0,21.2,5.825,9.45,6.4629,153.4709,757.6889,3276.9282,1422.3852,4421.13,25.1,2250
43525.25,178.9909,5606.2102,1035.1576,2812.5475,1571.3581,0,0,0,21.6,5.99,9.45,36.6519,113.4552,786.8996,3380.469,1438.8416,4399.106,24.8,2250
43525.27083,179.5661,5670.2674,1042.9647,2837.5898,1527.2404,0,0,1.2,24.6,5.81,9.45,119.034,102.3786,779.9879,3465.596,1424.6835,4399.106,24.8,2250
43525.29167,186.6299,5770.8417,1032.8249,2812.3287,1640.5777,0,0,1.2,24.7,5.755,9.45,180.9425,63.0629,781.2124,3596.8068,1392.8225,4321.845,24.575,2250
43525.3125,206.3317,5995.7399,1045.5772,2879.046,1713.1669,0,0,54.5738,24.8,5.715,9.45,205.5938,57.8173,848.958,3697.1618,1449.6201,4321.845,24.575,2250
43525.33333,202.3333,6234.2028,1051.0021,2918.6185,1838.8355,0,0,126.957,25,5.71,9.45,213.4917,45.1379,876.3762,3905.6544,1452.1722,4283.804,24.475,2250
43525.35417,203.6354,6430.1107,1049.4779,2961.8236,1964.1588,0,0,126.4623,24.5,5.995,9.45,229.3143,58.9289,889.4364,4059.1743,1481.4999,4283.804,24.475,2250
43525.375,203.9692,6602.0113,1061.4277,3016.6973,2086.2887,0,0,101.7416,24.5,5.65,9.05,228.6105,68.0456,940.0409,4169.7489,1492.2215,4221.148,24.725,2250
43525.39583,203.1577,6716.8639,1055.9984,3005.9278,2213.1232,0,0,102.0792,24.4,5.625,7.85,232.7014,69.1589,920.8058,4350.2108,1445.8472,4221.148,24.725,2250
43525.41667,203.0383,6799.9496,1051.5013,3053.2291,2213.3128,0,0,100.9315,24.5,5.835,7.85,242.8461,99.9439,943.1719,4382.9962,1473.7815,4102.431,25.125,2250
43525.4375,200.6901,6859.2988,1043.3726,3023.3108,2349.4861,0,0,99.9488,24.3,5.45,7.85,206.9696,98.6109,974.6757,4398.7637,1485.8595,4102.431,25.125,2250
43525.45833,209.9347,6956.8112,1042.1616,3053.4045,2381.9907,0,19.9265,126.4495,24.7,5.84,8.8,196.6796,96.8588,964.8238,4486.5763,1505.4111,4062.859,25.687,2250
43525.47917,211.5764,6952.9246,1046.2676,3057.4152,2231.7926,0,66.7336,126.0177,24.5,5.815,9.1,226.4851,158.7978,977.6826,4477.1948,1498.0472,4062.859,25.687,2250
43525.5,213.7813,6854.3157,1046.1507,3034.7743,2182.8504,0,80.1684,126.711,24.6,5.955,9.1,171.6564,172.3495,986.237,4360.7158,1507.363,4043.779,26.35,2250
43525.52083,209.8389,6834.6154,1045.8226,2958.3076,2200.3971,0,80.5661,125.8803,24.9,5.89,9.1,184.1386,199.613,944.4912,4404.701,1485.4232,4043.779,26.35,2250
43525.54167,202.8505,6762.5696,1045.7666,2913.7421,2151.427,0,81.005,126.1039,24.4,5.99,9.1,178.8289,226.206,907.226,4359.5326,1495.811,4094.305,26.925,2250
43525.5625,199.8411,6866.5824,1052.7911,3030.0332,2180.444,0,81.347,102.1622,24.4,6.14,9.1,151.639,228.5258,957.9105,4395.7596,1512.9123,4094.305,26.925,2250
43525.58333,201.4467,6845.1701,1029.1192,3005.6988,2181.6378,0,81.7596,102.7549,24.6,6.21,9.1,156.4571,247.8328,955.8506,4375.7759,1513.5436,4150.012,27.425,2250
43525.60417,199.4149,6882.7401,1035.4357,3005.779,2226.8808,0,81.7747,100.0335,24.4,5.59,9.1,152.8355,240.9108,948.9614,4421.084,1512.6947,4150.012,27.425,2250
43525.625,200.8271,6883.0866,1044.6171,3037.5243,2156.8011,0,81.8391,103.1485,24.8,6.125,9,171.9143,247.3173,957.0718,4440.7168,1485.2981,4154.723,27.95,2250
43525.64583,202.2238,6780.7722,1033.3546,2956.8067,2165.8683,0,81.8188,99.7453,25.2,6.02,9,145.9693,256.9894,937.9947,4354.1591,1488.6184,4154.723,27.95,2250
43525.66667,199.4318,6783.1443,1048.6468,3028.1008,2109.5665,0,81.7433,102.3746,24.6,5.27,9,118.9456,254.8967,947.5535,4334.207,1501.3838,4170.034,28.75,2250
43525.6875,201.4348,6704.2587,1046.1072,3011.5958,2045.413,0,81.662,102.5482,24.9,6.035,9,125.8402,251.1573,915.3688,4266.4352,1522.4547,4170.034,28.75,2250
43525.70833,201.0745,6617.3125,1052.2752,3034.0917,2009.7651,0,81.6416,102.3543,25,5.975,9.2,49.0013,248.0083,891.9124,4213.1768,1512.2232,4175.922,29.175,2250
43525.72917,195.9867,6405.8025,1044.944,2980.6436,1922.6904,0,60.5991,102.1384,24.8,5.885,9.2,5.8012,249.1007,835.1311,4030.3799,1540.2914,4175.922,29.175,2250
43525.75,178.5068,6601.0949,1057.9188,3007.8263,2111.6467,0,61.15,86.7155,24.6,5.855,9.2,0,236.1827,855.6682,4191.0339,1554.3928,4160.965,29.075,2250
43525.77083,202.92,6714.7607,1056.5068,3104.7603,2117.138,0,79.76,86.8178,24.9,5.8,9.2,0,229.8778,958.274,4233.8647,1522.622,4160.965,29.075,2250
43525.79167,202.5082,6800.6781,1048.819,3100.2841,2221.8339,0,82.1,91.735,24.8,5.81,9.3,0,215.9961,984.3761,4245.9157,1570.3863,4146.597,28,2250
43525.8125,202.0498,6781.1787,1053.0237,3115.6923,2232.7677,0,82.16,96.3918,24.8,5.65,9.3,0,161.3932,954.3488,4237.4832,1589.3467,4146.597,28,2250
43525.83333,203.6711,6738.2547,1063.0064,3104.8267,2217.9075,0,82.27,102.102,24,4.9565,9.3,0,129.8856,976.2605,4197.6117,1564.3825,4089.947,27.475,2250
43525.85417,203.1177,6725.124,1062.6219,3087.311,2242.4501,0,82.33,101.5075,24.2,5.8186,9.3,0,109.5849,967.7111,4187.2734,1570.1396,4089.947,27.475,2250
43525.875,202.3076,6660.1478,1067.4642,3098.7723,2146.2373,0,82.4,101.249,24.1,5.7044,9.3,0,124.9206,939.5734,4148.0332,1572.5412,4052.848,27.075,2250
43525.89583,203.3416,6559.4629,1066.4937,3098.4698,2047.8022,0,82.54,101.2083,24.1,5.752,9.4,0,123.697,907.1802,4130.9447,1521.338,4052.848,27.075,2250
43525.91667,203.5221,6436.1988,1066.1638,3090.8552,1950.3518,0,82.61,101.6842,24,5.492,9.4,0,105.6418,908.0523,4057.7043,1470.4422,4051.788,26.525,2250
43525.9375,172.2054,6197.8989,1057.0617,3054.9362,1780.4905,0,60.4,101.7044,24,6.0002,9.4,0,103.906,859.4634,3882.1471,1456.2885,4051.788,26.525,2250
43525.95833,172.1041,5995.1143,1068.7634,2985.4499,1676.2858,0,60.45,86.0619,24.1,5.639,9.4,0,78.9644,820.5759,3742.006,1432.5325,4200.891,25.9,2250
43525.97917,171.4164,5792.6259,1061.6836,2955.1682,1610.0025,0,61.04,1.2,24.1,6.1131,9.4,0,63.9186,762.3471,3638.6931,1391.5857,4200.891,25.9,2250
43526,173.0544,5651.0862,1048.3833,2833.9937,1612.6881,0,60.8716,1.2,24.1,6.065,9.4,0,54.3846,770.0596,3476.2526,1404.774,4245.409,23.5,950
43526.02083,172.1737,5651.8901,1053.4958,2792.8615,1640.0666,0,61.3402,0,21.3,6.005,9.4,0,67.421,776.4492,3461.3422,1414.0987,4245.409,23.5,950
43526.04167,171.4917,5551.2747,1048.5662,2686.2665,1668.8637,0,61.564,0,20.5,5.665,8.75,0,51.0993,769.3418,3384.7837,1397.1492,4251.887,23.225,950
43526.0625,172.6983,5430.0173,1053.1071,2637.9807,1597.73,0,61.1772,0,20.8,5.735,8.35,0,45.1374,761.8921,3293.9122,1374.2131,4251.887,23.225,950
43526.08333,171.6889,5304.5228,1035.0182,2562.0222,1571.9994,0,61.053,1.2,22.2,6.2601,8.35,0,36.4199,730.0919,3197.785,1376.646,4339.865,23.525,950
43526.10417,173.2013,5374.8833,1003.6231,2567.1161,1651.7191,0,61.1895,1.2,22.3,5.3841,8.35,0,54.0014,768.5373,3235.8699,1370.4761,4339.865,23.525,950
43526.125,172.8109,5341.0237,1002.6649,2579.8225,1617.4356,0,61.02,1.2,22.9,5.9506,8.35,0,41.6801,761.6458,3213.2585,1366.1194,4369.897,22.75,950
43526.14583,171.7858,5241.7773,990.5629,2521.204,1571.775,0,60.79,1.2,22.8,5.8576,8.35,0,59.2378,727.8016,3138.7222,1375.2536,4369.897,22.75,950
43526.16667,170.9181,5381.8365,994.702,2559.5977,1659.9768,0,61.2,1.2,22.5,5.6851,8.35,0,68.625,766.1181,3214.0685,1401.6499,4358.709,22.95,950
43526.1875,171.2495,5352.4671,1024.4036,2549.7427,1600.7964,0,60.94,1.2,22.7,5.947,8.35,0,78.3873,738.4726,3221.9045,1392.09,4358.709,22.95,950
43526.20833,172.2837,5431.5166,1022.6088,2532.0669,1703.9163,0,61.14,1.2,22.7,5.96,8.35,0,73.5746,747.8799,3280.4817,1403.155,4355.293,23.05,950
43526.22917,173.3973,5386.7844,1022.0651,2555.3529,1628.0982,0,60.88,1.2,22.7,6,8.35,5.6204,76.5177,782.5756,3231.0301,1373.1786,4355.293,23.05,950
43526.25,172.8163,5341.1866,1036.3767,2535.0225,1534.2038,0,59.95,1.2,22.7,6.005,8.35,42.1542,95.2244,772.4099,3210.0473,1358.7294,4330.679,23.15,950
43526.27083,173.473,5239.2347,1038.2199,2391.2077,1544.9089,0,60.7,1.2,23.1,6.115,8.35,81.552,83.8812,720.7062,3173.5,1345.0285,4330.679,23.15,950
43526.29167,172.9171,5442.4989,1007.1731,2445.1311,1698.735,0,61.16,1.2,22.8,5.88,8.35,117.7073,74.3624,769.571,3311.6072,1361.3208,4282.037,22.95,950
43526.3125,172.511,5715.4106,1011.6041,2585.1462,1739.37,0,61.05,0,22.5,5.925,8.35,201.2391,80.2262,811.9745,3545.9913,1357.4448,4282.037,22.95,950
43526.33333,173.8353,5897.1505,1012.275,2823.1405,1620.6753,0,60.38,102.087,22.6,5.775,8.35,170.3902,71.4775,839.6196,3673.5469,1383.984,4253.889,23.387,950
43526.35417,173.7416,6071.3023,1015.4936,2931.2406,1626.1738,0,60.95,101.2275,22.5,5.89,8.35,223.0125,76.4642,861.5147,3821.7247,1388.0629,4253.889,23.387,950
43526.375,173.1168,6257.6632,1025.4323,2998.7499,1712.0851,0,61.11,101.2547,22.3,5.245,8.05,228.8671,94.5692,852.3918,3994.1578,1411.1135,4263.076,24.825,950
43526.39583,202.1764,6433.4676,1049.5279,3024.0886,1838.1842,0,61.15,101.7349,22.2,6.175,8.05,224.8354,97.5217,915.0147,4126.3997,1392.0533,4263.076,24.825,950
43526.41667,202.2352,6487.8509,1039.3541,2995.7606,1894.3091,0,81.29,99.1552,22.6,6.195,8.05,238.8614,102.2756,932.1773,4129.015,1426.6586,4318.784,25.725,950
43526.4375,201.9414,6608.5298,1052.0624,3089.2474,1936.0574,0,80.91,102.118,22.6,6.165,9.25,201.5927,108.527,946.5832,4222.8624,1439.0842,4318.784,25.725,950
43526.45833,202.5423,6556.9961,1032.4539,2930.1573,2053.6056,0,80.9,101.6664,22.6,6.205,9.2,192.0454,128.1627,949.1654,4175.0314,1432.7994,4285.336,26.3,950
